Nama UMKM,Produk Utama,Total Aset (Juta),Penjualan Rata-rata Per Tahun (Juta),Jumlah Tenaga Kerja,Nama Badan Hukum,Kategori,Sistem Penjualan,Target Pasar,Proyeksi Pertumbuhan (%/tahun),Kebutuhan Biaya Kredit (Juta),Nilai Aset Jaminan Kredit,Jumlah Dokumen Kredit,Label
Usaha Kue Kering,Kue Kering,254,9,2,Perorangan,Industri Pengolahan,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,4,220,5,TIDAK LAYAK
Perusahaan Tahu Tempe,Kedelai,200,180,3,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,35,120,5,TIDAK LAYAK
Aneka Makanan Husna,Kue,157,108,2,Perorangan,Industri Pengolahan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,32,147,4,TIDAK LAYAK
Jajanan Khas Kaur 'Bu Erni',Pisang. Ubi,218,96,5,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,40,153,4,TIDAK LAYAK
Firman Meuble,Kayu,107,240,5,Perorangan,Industri Pengolahan,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,70,47,4,TIDAK LAYAK
Rempah-Rempah,Rempah-Rempah,229,12,2,Perorangan,Industri Pengolahan,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,8,220,6,TIDAK LAYAK
Meuble Rotan Joko,Rotan,160,96,3,Perorangan,Industri Pengolahan,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,42,140,4,TIDAK LAYAK
Sahira Meuble,Meuble,170,180,1,Perorangan,Industri Pengolahan,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,49,143,4,TIDAK LAYAK
Meuble Sularto,Pintu. Kosen. Jendela,124,200,4,Perorangan,Industri Pengolahan,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 50 %,0,24,115,7,TIDAK LAYAK
Ud Kerajinan Tangan,Sapu Ijuk,30,36,1,Perorangan,Industri Pengolahan,Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,16,4,7,TIDAK LAYAK
Kerupuk Rr,Kerupuk,167,1200,9,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,100,120,7,LAYAK
Kerupuk Aa,Kerupuk,28,360,2,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,10,20,6,TIDAK LAYAK
Sinar Margo,Kerupuk,448,1080,9,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,100,400,8,LAYAK
Kerupuk Baraya,Kerupuk,84,540,5,Perorangan,Industri Pengolahan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,10,41,7,LAYAK
Kerupuk Tiga Putri,Kerupuk,39,540,6,Perorangan,Industri Pengolahan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,10,20,6,TIDAK LAYAK
Bengkel Las Atikah,Teralis,325,480,2,Perorangan,Industri Pengolahan,Retail,Tidak ada 0 %,0,80,215,7,LAYAK
Pabrik Tempe Watiyah,Tempe,213,160,1,Perorangan,Industri Pengolahan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,10,200,6,TIDAK LAYAK
Meubeul Setia Usaha,Perabot Rumah,276,1000,16,Perorangan,Industri Pengolahan,Retail,Tidak ada 0 %,0,200,270,9,LAYAK
Tembesu Indah Meubeul,Perabot Rumah Tangga,625,600,10,Perorangan,Industri Pengolahan,Retail,Tidak ada 0 %,0,50,605,8,LAYAK
Viska Water,Air Minum,421,82,1,Perorangan,Industri Pengolahan,Retail,Tidak ada 0 %,0,10,215,8,TIDAK LAYAK
Rambak Gunarwi,Kerupuk,154,76,2,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,15,120,8,TIDAK LAYAK
Pengrajin Tahu Mama,Tahu,433,180,2,Perorangan,Industri Pengolahan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,30,300,8,TIDAK LAYAK
Tahu Kempong Abadi Jaya,Tahu,352,360,2,Perorangan,Industri Pengolahan,Retail dan Distributor,Tidak ada 0 %,0,80,140,8,LAYAK
Bengkel Las Ijon,Teralis,295,600,1,Perorangan,Industri Pengolahan,Retail,Tidak ada 0 %,0,80,135,7,LAYAK
Pengrajin Tahu Suharti,Tahu,159,360,1,Perorangan,Industri Pengolahan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,30,200,7,LAYAK
Doa Restu,Kerupuk,34,360,2,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,10,30,7,TIDAK LAYAK
Mandiri Teralis,Teralis,180,360,2,Perorangan,Industri Pengolahan,Retail,Tidak ada 0 %,0,25,60,8,LAYAK
Keripik Merangin Makmur,Keripik,158,204,2,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,150,80,8,TIDAK LAYAK
Meubeul,Perabot Rumah Tangga,308,1200,3,Perorangan,Industri Pengolahan,Retail,Tidak ada 0 %,0,150,240,10,LAYAK
Ar Bengkel Las Gemilang,Teralis,248,240,3,Perorangan,Industri Pengolahan,Retail,Tidak ada 0 %,0,50,160,7,TIDAK LAYAK
Miroso Keripik,Keripik,243,144,1,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,30,225,9,TIDAK LAYAK
Surojoyo,Keripik,336,360,2,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,150,320,9,LAYAK
Putra Tunggal Keripik,Aneka Keripik,212,180,1,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,10,150,6,TIDAK LAYAK
Konveksi Aneka,Pakaian,180,120,1,Perorangan,Industri Pengolahan,Retail,Tidak ada 0 %,0,20,150,6,TIDAK LAYAK
Mustika Printing,Percetakan,165,240,2,Perorangan,Industri Pengolahan,Retail dan Distributor,Tidak ada 0 %,0,200,80,9,TIDAK LAYAK
Kerupuk Nugraha,Kerupuk,294,720,7,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,50,280,7,LAYAK
Dimas Meubeul,Perabot Rumah Tangga,79,96,1,Perorangan,Industri Pengolahan,Retail,Tidak ada 0 %,0,30,50,6,TIDAK LAYAK
Konveksi Mutnam,Seragam Sekolah,445,1200,7,Perorangan,Industri Pengolahan,Retail dan Distributor,Tidak ada 0 %,0,200,290,9,LAYAK
Bengkel Edi Las,Teralis Besi,1191,233,7,Perorangan,Industri Pengolahan,Retail dan Distributor,Tidak ada 0 %,0,40,1150,7,TIDAK LAYAK
Bengkel Las Aks,Teralis Besi,305,288,3,Perorangan,Industri Pengolahan,Retail dan Distributor,Tidak ada 0 %,0,40,290,7,TIDAK LAYAK
Tahu Singkut,Tahu,352,1080,4,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,80,310,8,LAYAK
Putra Galungung,Kerupuk,376,576,4,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,90,350,9,LAYAK
Pabrik Tahu Pak Yayat,Tahu,234,960,6,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,160,210,8,LAYAK
Karya Mandiri,Keripik Singkong,225,576,5,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 50 %,0,40,210,7,LAYAK
Tahu Sumedang Sari Rasa,Tahu Sumedang,62,648,4,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 90 %,0,40,36,7,LAYAK
Zaini Mebel,Kusen Pintu/Jendela,320,135,8,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 20 %,0,45,290,6,TIDAK LAYAK
Bata Merah Imam,Bata Merah,137,238,4,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 80 %,0,30,30,6,TIDAK LAYAK
Konveksi Innayah,Pakaian Seragam Sekolah,685,1440,5,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 50 %,0,80,520,7,LAYAK
Bengkel Las Adi Karya,Teralis. Pagar,23,180,3,Perorangan,Industri Pengolahan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,18,100.5,5,TIDAK LAYAK
Batu Bata Sawal,Batu Bata,48,384,5,Perorangan,Industri Pengolahan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,9,26,6,TIDAK LAYAK
Ali Baba,Keripik Jamur Tiram,97,60,8,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 50 %,0,8,85,2,TIDAK LAYAK
Noesry,Krispy Daun Singkong,317,48,5,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 50 %,0,8,310,2,TIDAK LAYAK
Kahiji,Keripik Jagung,295,168,10,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,80,160,2,TIDAK LAYAK
Kirno Sanitair,Polongan,910,600,3,Perorangan,Industri Pengolahan,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 70 %,0,100,390,7,LAYAK
Gibran Steel,Pagar,985,360,12,Perorangan,Industri Pengolahan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 50 %,0,80,30,8,LAYAK
Pabrik Tempe,Tempe,662,720,1,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,30,607,6,LAYAK
Udipa,Kripik Udi,17,162,1,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 50 %,0,7,6,6,TIDAK LAYAK
Pabrik Tempe,Tempe,538,360,2,Perorangan,Industri Pengolahan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,10,514,7,LAYAK
Penggilingan Mie Ayam Glondong,Mie Yntuk Mie Ayam,333,162,3,Perorangan,Industri Pengolahan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,165,51,7,TIDAK LAYAK
Pabrik Tempe Binaan Harber,Tempe,41,1,1,Perorangan,Industri Pengolahan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,50,14,6,TIDAK LAYAK
Azman Alumunium,Panci. Cetakan Kue. Oven,124,180,1,Perorangan,Industri Pengolahan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 25 %,0,20,107,7,TIDAK LAYAK
Pabrik Keripik,Keripik Ubi,736,278,1,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 50 %,0,13,720,8,TIDAK LAYAK
Kios Ban Bekas Samsu,Ban Bahan Jok,411,360,3,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,190,277,7,LAYAK
Lingga Steel,Teralis. Pagar. Rolling Door,690,216,7,Perorangan,Industri Pengolahan,Retail,Tidak ada 0 %,0,140,577,7,TIDAK LAYAK
Pabrik Keripik Ubi Udipa,Keripik Ubi,319,162,1,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 50 %,0,13,6,7,TIDAK LAYAK
Pabrik Tempe H. Sabar,Tempe,1128,540,2,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,15,1086,7,LAYAK
Famili Bakery,Berbagai Jenis Kue Dan Roti,1234,288,2,Perorangan,Industri Pengolahan,Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 90 %,0,40,1180,7,TIDAK LAYAK
Batik Al-Fath,Batik Jambi,495,576,11,Perorangan,Industri Pengolahan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 90 %,0,100,3000,9,LAYAK
Batik Dua Putri,Batik Jambi,615,360,7,Perorangan,Industri Pengolahan,Retail,Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan) 80 %,0,100,300,9,LAYAK
UD Kios Ikan Giling,Fillet Ikan Gabus,680,900,3,Usaha Dagang (UD),Industri Pengolahan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 80 %,0,121,400.08,8,LAYAK
Usaha Karya Jaya,Pading Blok,1458,480,3,Perorangan,Industri Pengolahan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,100,916,7,LAYAK
Rumah Batik Mawar,Batik Jambi,486,72,5,Perorangan,Industri Pengolahan,Retail,Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan) 80 %,0,15,400,8,TIDAK LAYAK
Rumah Batik Mawar,Batik Jambi,486,72,5,Perorangan,Industri Pengolahan,Retail,Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan) 80 %,0,15,400,8,TIDAK LAYAK
Dwi Putra,Semua Produk Dari Stainless Steel,768,144,4,Perorangan,Industri Pengolahan,Retail,Tidak ada 0 %,0,200,382,7,TIDAK LAYAK
Peras Santan 3A,Santan Kelapa,31,360,2,Perorangan,Industri Pengolahan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,9,28,6,TIDAK LAYAK
Parabot Sutikno,Pintu. Konsen. Lemari,49,300,3,Perorangan,Industri Pengolahan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,18,30,6,TIDAK LAYAK
Sariksa Hidayah,Dendeng Sapi Dan Jaer,404,35,7,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,42,167,8,TIDAK LAYAK
Da Wa,Serbuk Jahe,160,48,3,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,15,150,2,TIDAK LAYAK
Jely Drink,Jelly Drink,127,120,3,Perorangan,Industri Pengolahan,Distributor,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,18,105,2,TIDAK LAYAK
Yanies Cake And Coookies,Kue Kering,2422,300,4,Perorangan,Industri Pengolahan,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,75,3388,2,LAYAK
Abon Mitoha,Abon Sapi. Tongkol. Dan Ayam,417,351,2,Perorangan,Industri Pengolahan,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 50 %,0,20,412,2,LAYAK
Saur Beyza,Basreng,8,12,2,Perorangan,Industri Pengolahan,Retail,Tidak ada 0 %,0,4,3,2,TIDAK LAYAK
Mak Nyak,Kerupuk Udang,92,216,9,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 50 %,0,15,72,7,TIDAK LAYAK
Rizqi Melimpah,Ikan Udang,588,26,4,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,0,387,9,TIDAK LAYAK
Tembesu Indah Meubeul,Perabot Rumah Tangga,625,600,10,Perorangan,Industri Pengolahan,Retail,Tidak ada 0 %,0,50,605,8,LAYAK
Viska Water,Air Minum,421,82,1,Perorangan,Industri Pengolahan,Retail,Tidak ada 0 %,0,10,215,8,TIDAK LAYAK
Rambak Gunarwi,Kerupuk,154,76,2,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,15,120,8,TIDAK LAYAK
Pengrajin Tahu Mama,Tahu,433,180,2,Perorangan,Industri Pengolahan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,30,300,8,TIDAK LAYAK
Tahu Kempong Abadi Jaya,Tahu,352,360,2,Perorangan,Industri Pengolahan,Retail dan Distributor,Tidak ada 0 %,0,80,140,8,LAYAK
Bengkel Las Ijon,Teralis,295,600,1,Perorangan,Industri Pengolahan,Retail,Tidak ada 0 %,0,80,135,7,LAYAK
Pengrajin Tahu Suharti,Tahu,159,360,1,Perorangan,Industri Pengolahan,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,30,200,7,LAYAK
Doa Restu,Kerupuk,34,360,2,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,10,30,7,TIDAK LAYAK
Mandiri Teralis,Teralis,180,360,2,Perorangan,Industri Pengolahan,Retail,Tidak ada 0 %,0,25,60,8,LAYAK
Keripik Merangin Makmur,Keripik,158,204,2,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,150,80,8,TIDAK LAYAK
Ar Bengkel Las Gemilang,Teralis,248,240,3,Perorangan,Industri Pengolahan,Retail,Tidak ada 0 %,0,50,160,7,TIDAK LAYAK
Miroso Keripik,Keripik,243,144,1,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,30,225,9,TIDAK LAYAK
Putra Tunggal Keripik,Aneka Keripik,212,180,1,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,10,150,6,TIDAK LAYAK
Mustika Printing,Percetakan,165,240,2,Perorangan,Industri Pengolahan,Retail dan Distributor,Tidak ada 0 %,0,200,80,9,TIDAK LAYAK
Kerupuk Nugraha,Kerupuk,294,720,7,Perorangan,Industri Pengolahan,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,50,280,7,LAYAK
Pabrik Gabah Latif,Beras,202,90,1,Perorangan,Kegiatan Jasa Lainnya,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,5,8,202,6,TIDAK LAYAK
Bengkel B Kuning,Jasa Bengkel,15,86,1,Perorangan,Kegiatan Jasa Lainnya,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,25,15,5,TIDAK LAYAK
Jasa Ojek Edy,Jasa Ojek,116,360,1,Perorangan,Kegiatan Jasa Lainnya,Retail,Tidak ada 0 %,0,20,116,3,LAYAK
Sansiro Corner,Jasa Fotocopy.Percetakan.Print,70,150,1,Perorangan,Kegiatan Jasa Lainnya,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 50 %,0,6,70,8,TIDAK LAYAK
Pangkas Rambut Muzaki,Jasa Pangkas Rambut,0,101,1,Perorangan,Kegiatan Jasa Lainnya,Retail,Tidak ada 0 %,0,20,0,3,TIDAK LAYAK
Harin,Angkutan,360,120,1,Perorangan,Kegiatan Jasa Lainnya,Retail,Tidak ada 0 %,0,25,360,7,TIDAK LAYAK
UD Gembira,Food,3000,60,1,Usaha Dagang (UD),Kegiatan Jasa Lainnya,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,10,3000,8,TIDAK LAYAK
Fairus Motor,Jasa Servis Kendaraan,341,180,2,Perorangan,Kegiatan Jasa Lainnya,Retail,Tidak ada 0 %,0,100,341,8,TIDAK LAYAK
Bengkel Perempatan,Jasa Servis Kendaraan,216,19,1,Perorangan,Kegiatan Jasa Lainnya,Retail,Tidak ada 0 %,0,10,216,6,TIDAK LAYAK
Bengkel 5758,Jasa Servis Kendaraan,34,288,1,Perorangan,Kegiatan Jasa Lainnya,Retail,Tidak ada 0 %,0,100,34,8,TIDAK LAYAK
Bengkel Las Toraja,Jasa,20,100,4,Perorangan,Kegiatan Jasa Lainnya,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,30,20,5,TIDAK LAYAK
Usaha Perahu Bot,Jasa,200,300,1,Perorangan,Kegiatan Jasa Lainnya,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,200,200,8,LAYAK
Bengkel Motor Intan Motor,Jasa,20,60,1,Perorangan,Kegiatan Jasa Lainnya,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,20,20,6,TIDAK LAYAK
Cahaya Indah,Las Besi,15,120,2,Perorangan,Kegiatan Jasa Lainnya,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,50,15,6,TIDAK LAYAK
Pangkas Rambut Nur Alim,Gunting Rambut,8,182,1,Perorangan,Kegiatan Jasa Lainnya,Retail,Tidak ada 0 %,0,50,8,6,TIDAK LAYAK
Pangkas Rambut Madura,Pangkas Rambut,5,216,4,Perorangan,Kegiatan Jasa Lainnya,Retail,Tidak ada 0 %,0,100,5,6,TIDAK LAYAK
Warung Sami,Sate Dan Lalapan,2,255,3,Perorangan,Kegiatan Jasa Lainnya,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,100,2,2,TIDAK LAYAK
Km. Susi Anjuryani,Angkutan Laut,25,246,3,Perorangan,Kegiatan Jasa Lainnya,Distributor,Tidak ada 0 %,0,23,25,7,TIDAK LAYAK
Al-Hanuf Madura,Pangkas Rambut,3,168,1,Perorangan,Kegiatan Jasa Lainnya,Retail,Tidak ada 0 %,0,50,3,6,TIDAK LAYAK
Nabila Tailor,Penjahit,64,300,2,Perorangan,Kegiatan Jasa Lainnya,Retail,Tidak ada 0 %,0,200,64,11,LAYAK
Warung Karang Anyar,Lalapan Dan Nasgor,6,128,2,Perorangan,Kegiatan Jasa Lainnya,Retail,Tidak ada 0 %,0,50,6,3,TIDAK LAYAK
Galaxy Digital Printing,Jasa Printing,83,600,1,Perorangan,Kegiatan Jasa Lainnya,Retail dan Distributor,Tidak ada 0 %,0,100,83,9,LAYAK
Warung Setia Abadi,Makanan,40,360,1,Perorangan,Kegiatan Jasa Lainnya,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,70,40,5,TIDAK LAYAK
Warung Rasya,Makanan,23,25,1,Perorangan,Kegiatan Jasa Lainnya,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,15,23,6,TIDAK LAYAK
Warung Makan Sinar Abadi,Makanan,14,100,3,Perorangan,Kegiatan Jasa Lainnya,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,201,14,10,TIDAK LAYAK
Penjahit Blessa,Pakaian Wanita,270,216,2,Perorangan,Kegiatan Jasa Lainnya,Retail dan Distributor,Tidak ada 0 %,0,15,270,9,TIDAK LAYAK
Cempaka Bordir,Pakaian,290,324,3,Perorangan,Kegiatan Jasa Lainnya,Retail dan Distributor,Tidak ada 0 %,0,80,290,9,LAYAK
Sinar Kebaya,Jasa Jahit Kebaya,26,96,1,Perorangan,Kegiatan Jasa Lainnya,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 20 %,0,16,26,6,TIDAK LAYAK
Salon A2,Jasa Salon,220,72,2,Perorangan,Kegiatan Jasa Lainnya,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,80,220,7,TIDAK LAYAK
M. Ikbal Tailor,Pakaian,110,120,1,Perorangan,Kegiatan Jasa Lainnya,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,20,110,6,TIDAK LAYAK
Seneca Kost,Jasa Penginapan,1300,125,2,Perorangan,Kegiatan Jasa Lainnya,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,54,1300,9,TIDAK LAYAK
Tompo Graph,Jasa Sablon,138,54,3,Perorangan,Kegiatan Jasa Lainnya,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,23,138,8,TIDAK LAYAK
Pres Ban Mobil Ar Lura,Press Ban & Bengkel Kendaraan,510,240,3,Perorangan,Kegiatan Jasa Lainnya,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,80,510,9,TIDAK LAYAK
Dago Press Dan Reparasi Motor,Press Ban Mobil & Motor,500,170,3,Perorangan,Kegiatan Jasa Lainnya,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 80 %,0,15,500,8,TIDAK LAYAK
Lapiyen Penggilingan,Penggilingan,213,36,2,Perorangan,Kegiatan Jasa Lainnya,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,40,213,6,TIDAK LAYAK
Reklame & Stempel Nevian,Reklame & Stempel,208,18,2,Perorangan,Kegiatan Jasa Lainnya,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,14,208,6,TIDAK LAYAK
Yudi Cell,Hp,81,72,1,Perorangan,Kegiatan Jasa Lainnya,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,35,81,4,TIDAK LAYAK
Aditya Jaya Gordyn,Kain,76,76,3,Perorangan,Kegiatan Jasa Lainnya,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,35,76,4,TIDAK LAYAK
Loket Pembayaran Rekening Listrik,Loket Listrik,90,30,2,Perorangan,Kegiatan Jasa Lainnya,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,24,90,4,TIDAK LAYAK
Agen Travel Nanda,Agen Travel,610,108,2,Perorangan,Kegiatan Jasa Lainnya,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,35,610,4,TIDAK LAYAK
Nurhayati Jne,Paket Barang,52,24,2,Perorangan,Kegiatan Jasa Lainnya,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,8,52,4,TIDAK LAYAK
Reklame & Stempel Bintang,Reklame & Stempel,67,48,1,Perorangan,Kegiatan Jasa Lainnya,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,35,67,4,TIDAK LAYAK
